2019-04-11 23:01:53.010 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.label.dao.UserInfoRepositoryTest], using SpringBootContextLoader
2019-04-11 23:01:53.026 [main] INFO  o.s.t.c.s.AbstractContextLoader -Could not detect default resource locations for test class [com.label.dao.UserInfoRepositoryTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-04-11 23:01:53.027 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils -Could not detect default configuration classes for test class [com.label.dao.UserInfoRepositoryTest]: UserInfoRepositoryTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-04-11 23:01:53.174 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Found @SpringBootConfiguration com.label.LabelApplication for test class com.label.dao.UserInfoRepositoryTest
2019-04-11 23:01:53.278 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-04-11 23:01:53.296 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@5552768b, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@3c947bc5, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@609db43b, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@55f616cf, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1356d4d4, org.springframework.test.context.transaction.TransactionalTestExecutionListener@c03cf28, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@1329eff, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@6497b078, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@41c2284a, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@53aad5d5, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@46fa7c39, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@1fb700ee]
2019-04-11 23:26:21.273 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.label.dao.UserInfoRepositoryTest], using SpringBootContextLoader
2019-04-11 23:26:21.287 [main] INFO  o.s.t.c.s.AbstractContextLoader -Could not detect default resource locations for test class [com.label.dao.UserInfoRepositoryTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-04-11 23:26:21.288 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils -Could not detect default configuration classes for test class [com.label.dao.UserInfoRepositoryTest]: UserInfoRepositoryTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-04-11 23:26:21.396 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Found @SpringBootConfiguration com.label.LabelApplication for test class com.label.dao.UserInfoRepositoryTest
2019-04-11 23:26:21.478 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
