2019-04-16 23:47:33.087 [main] INFO  com.label.dao.UserInfoRepositoryTest -Starting UserInfoRepositoryTest on xfduan-pc.local with PID 17458 (started by xfduan in /Users/xfduan/WorkSpaces/personal/silly-label/server)
2019-04-16 23:47:33.092 [main] INFO  com.label.dao.UserInfoRepositoryTest -No active profile set, falling back to default profiles: default
2019-04-16 23:47:33.819 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate -Bootstrapping Spring Data repositories in DEFAULT mode.
2019-04-16 23:47:33.899 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate -Finished Spring Data repository scanning in 72ms. Found 11 repository interfaces.
2019-04-16 23:47:34.220 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker -Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$f58ef730] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-04-16 23:47:34.611 [main] INFO  c.alibaba.druid.pool.DruidDataSource -{dataSource-1} inited
2019-04-16 23:47:35.977 [main] INFO  o.h.jpa.internal.util.LogHelper -HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
2019-04-16 23:47:36.036 [main] INFO  org.hibernate.Version -HHH000412: Hibernate Core {5.3.7.Final}
2019-04-16 23:47:36.038 [main] INFO  org.hibernate.cfg.Environment -HHH000206: hibernate.properties not found
2019-04-16 23:47:36.181 [main] INFO  o.h.annotations.common.Version -HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
2019-04-16 23:47:36.325 [main] INFO  org.hibernate.dialect.Dialect -HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2019-04-16 23:47:38.078 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean -Initialized JPA EntityManagerFactory for persistence unit 'default'
2019-04-16 23:47:38.440 [main] INFO  com.label.service.CacheServiceImpl -???cookie??
2019-04-16 23:47:38.729 [main] INFO  com.label.service.CacheServiceImpl -???cookie????
2019-04-16 23:47:39.127 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping -Mapped URL path [/v2/api-docs] onto method [public org.springframework.http.ResponseEntity<springfox.documentation.spring.web.json.Json> springfox.documentation.swagger2.web.Swagger2Controller.getDocumentation(java.lang.String,javax.servlet.http.HttpServletRequest)]
2019-04-16 23:47:39.465 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration -spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2019-04-16 23:47:39.981 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper -Context refreshed
2019-04-16 23:47:40.001 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper -Found 1 custom documentation plugin(s)
2019-04-16 23:47:40.026 [main] INFO  s.d.s.w.s.ApiListingReferenceScanner -Scanning for api listing references
2019-04-16 23:47:40.161 [main] INFO  com.label.dao.UserInfoRepositoryTest -Started UserInfoRepositoryTest in 27.324 seconds (JVM running for 28.13)
2019-04-16 23:47:40.838 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.label.dao.UserRoleRepositoryTest], using SpringBootContextLoader
